Nombre del artista,Título de la canción,Número de canción,Título del álbum,Fecha de lanzamiento,Nombre del compositor,Nombre del productor musical,Código ISRC,Sello discográfico,Compañía editorial,Entidad de gestión de derechos,Género/s musical/es,Número de reproducciones,Top 5,Contacto (campo comentarios)
Juan Cole,Good physical.,12,Chair responsibility.,2009-08-15,Jesse Scott,John Parker,978-1-04-324689-1,Sony Music,Universal Music Publishing Group,BMI,Reggae,82655,False,nburke@example.org
Amber Kim,Discover usually party interest.,7,Hear that common.,2016-09-24,Michael Garcia,Anthony Walls,978-0-684-72584-0,Warner Music Group,Warner/Chappell Music,ASCAP,Merengue,181929,False,richardavila@example.net
Joan Moore,Everybody another many.,9,Somebody husband likely.,2018-08-05,Robert Thomas,Todd Ford,978-1-5250-5291-0,Sony Music,Universal Music Publishing Group,BMI,Salsa,664535,False,brocksamantha@example.net
Mr. Jeffrey Watkins,Seek return than start well.,10,Travel.,2017-08-27,Jodi Fitzgerald,John Williams,978-1-129-16658-7,Sony Music,Sony/ATV Music Publishing,BMI,Country,604760,False,kentgamble@example.org
Patricia Patel,Mouth performance whatever question moment.,5,All sister.,2003-03-13,Jennifer Hampton,Colin Duncan,978-0-9649078-9-8,Universal Music Group,Kobalt Music Group,BMI,Country,441368,False,bcox@example.net
John Perez,Pay artist this.,4,Reach effort answer.,2023-08-22,Danielle Ramirez,Eric Crawford,978-1-225-29622-5,Sony Music,Universal Music Publishing Group,ASCAP,Classical,902247,False,smithluke@example.org
George Taylor,Report around fact.,4,Be final.,2013-06-01,Miranda Salazar,Anthony Simmons,978-1-65356-044-8,Sony Music,Warner/Chappell Music,SESAC,Classical,87341,False,ucunningham@example.net
Rhonda Martinez,Important particularly whether century build.,7,Consumer senior spend.,2023-09-29,Ryan Robinson,Theresa White,978-0-502-32926-7,EMI,Sony/ATV Music Publishing,ASCAP,Salsa,105126,False,michealdavis@example.org
Nicole Lynch,Trade him consumer style ability.,3,Board design half.,2005-12-12,Mary Webb,John Mullins,978-0-660-74298-4,Warner Music Group,Kobalt Music Group,SESAC,Salsa,957458,False,chris67@example.org
Sheila Brooks,Leg item month.,8,Manage purpose.,2014-07-13,Taylor Bowers,James Johnston,978-0-207-03206-6,Warner Music Group,Universal Music Publishing Group,ASCAP,Reggae,169585,False,harrisjanice@example.net
Meagan Gonzalez,Agency time arm view wife.,10,Why store.,2006-08-24,Carol Weaver,Kevin Mason,978-1-4464-8818-8,Warner Music Group,Warner/Chappell Music,SESAC,Vallenato,359599,False,ymurray@example.org
Kevin Ford,Prepare risk cost color.,6,Prove professor.,2012-07-09,Dawn Myers,Garrett Hoffman,978-0-496-99955-2,Sony Music,Sony/ATV Music Publishing,ASCAP,Merengue,494536,False,mwatson@example.net
Dennis Novak,Each wind example sure thought.,12,Ready hotel others.,2008-08-07,Sheryl Steele,Alyssa Cooper,978-1-237-61847-3,EMI,Sony/ATV Music Publishing,SESAC,Reggeton,469024,False,emily63@example.org
Morgan Mora,Member about her.,6,Evidence.,2011-12-27,Andrea Lopez,Teresa Garcia,978-1-369-35803-2,EMI,Universal Music Publishing Group,BMI,Jazz,934519,False,agreen@example.net
Barbara Hernandez,Nearly serve yard.,9,Research population factor.,2001-05-03,Michelle Robinson,Erica Wilson,978-1-56766-910-7,Warner Music Group,Universal Music Publishing Group,SESAC,Salsa,778745,False,sharonlowery@example.com
James Gardner,Campaign figure.,6,Require analysis husband.,2022-05-13,Cameron Moore,Grace Rivera,978-0-8045-7750-2,EMI,Sony/ATV Music Publishing,SESAC,Salsa,616016,False,duncanjackie@example.org
Zachary Best,Per evidence year democratic recognize.,9,Either whatever.,2011-05-09,Brandon Jackson,Kellie Robertson,978-0-682-83196-3,Warner Music Group,Universal Music Publishing Group,SESAC,Pop,1781,False,jimenezanna@example.com
David Sullivan,Option assume.,7,Image effect other lead.,2015-10-12,David Martin,Jorge Rogers,978-0-15-029485-6,EMI,Warner/Chappell Music,BMI,Reggeton,344001,False,jamiekelly@example.com
Raymond Torres MD,Attention respond officer play charge.,1,Amount majority single.,2003-01-17,Wendy Carey,Jeffrey Smith,978-0-01-243508-3,Universal Music Group,Kobalt Music Group,BMI,Reggeton,617346,False,zwhite@example.com
Robert Mack,Ask wife reflect far address.,9,Degree source every.,2016-07-07,Ryan Contreras,Cathy Chase,978-0-7478-7488-1,Sony Music,Kobalt Music Group,SESAC,Merengue,631516,False,huntamanda@example.com
Ralph Hood,Concern American ask low something.,7,Cultural something.,2023-02-17,Zachary Fischer,Emily Rice,978-1-82591-063-7,EMI,Sony/ATV Music Publishing,ASCAP,Salsa,605009,False,juan40@example.org
Denise Morris,Low way far report enjoy.,1,Chair school agreement.,2015-08-06,Edward Kerr,Phillip Schmidt,978-0-478-89418-9,EMI,Warner/Chappell Music,SESAC,Vallenato,120355,False,latashakhan@example.org
Roberta Melendez,Hope sound degree film animal.,9,Magazine whose organization.,2018-01-05,Charles Russell,Jeffrey Gonzalez,978-0-440-74667-6,Universal Music Group,Kobalt Music Group,ASCAP,Salsa,62730,False,michaelglover@example.net
Karen Villanueva,Feeling meeting show use.,9,They test central.,2002-01-07,Beth Marshall,Holly Burton,978-0-08-227764-4,Warner Music Group,Warner/Chappell Music,ASCAP,Country,785960,False,gmorales@example.net
Heather Davis,Audience military southern.,2,Discover with.,2020-10-25,Jonathan Kaufman,Melissa Blair,978-0-8472-2979-6,Sony Music,Warner/Chappell Music,SESAC,Jazz,86625,False,brandon72@example.net
Katherine Cox,Statement least into.,6,Center style bit.,2024-01-26,Jasmine Gonzalez,Jeffrey Davis,978-0-924295-14-0,Universal Music Group,Warner/Chappell Music,SESAC,Reggeton,995394,True,nguyenbryan@example.net
Catherine Bautista,However dog build program.,8,Chair usually.,2022-01-27,Christian Graham,Matthew Norman,978-1-82498-713-5,EMI,Sony/ATV Music Publishing,BMI,Jazz,671008,False,gmaldonado@example.net
Elizabeth Martinez,Energy person.,2,Senior level voice.,2003-10-11,Nathaniel Ford,Steven Caldwell,978-0-257-95950-4,Sony Music,Kobalt Music Group,BMI,Jazz,877855,False,andrew25@example.net
Brian Roy,Live listen situation film job.,1,Majority message.,2003-12-27,Lauren Martinez,Tina Whitney,978-0-13-271544-7,Warner Music Group,Sony/ATV Music Publishing,ASCAP,Salsa,85089,False,woodsangela@example.org
Jeffrey Hardy,Agent clearly under right.,9,Have recognize.,2019-02-10,Fred Lee,Garrett Roberson,978-1-57415-629-4,EMI,Warner/Chappell Music,SESAC,Reggeton,316445,False,brandonnelson@example.net
Sarah Hayes,West action until.,11,Statement candidate forget itself.,2003-02-06,Brian Taylor,Megan Torres,978-1-370-23864-4,Sony Music,Warner/Chappell Music,ASCAP,Salsa,443744,False,htran@example.net
Timothy Martin,Pressure staff town field.,11,Amount because.,2007-10-16,Alyssa Hall,Jessica Herrera,978-0-322-65740-3,Sony Music,Kobalt Music Group,ASCAP,Jazz,197855,False,benjamin36@example.com
Jaime Erickson,Customer would dog long affect.,3,Continue try.,2006-06-16,Olivia Ellis MD,Nicholas Holden,978-0-286-33141-8,EMI,Universal Music Publishing Group,BMI,Merengue,926236,False,johnmedina@example.net
Danielle Carpenter,Voice throw art phone.,2,Better yeah wall.,2015-05-19,Charles Nelson,Megan Warner,978-1-69734-371-7,EMI,Universal Music Publishing Group,BMI,Salsa,410705,False,timothy09@example.com
Jennifer Ashley,Surface always something feeling.,8,Chair at purpose.,2009-11-25,Mrs. Shelley Torres MD,Tara Schmitt,978-1-914802-78-2,Sony Music,Kobalt Music Group,SESAC,Country,704823,False,zking@example.com
Paul Herrera,Impact our.,11,Last analysis say.,2014-03-25,Jill Johnson,William Clark,978-1-299-40374-1,Universal Music Group,Universal Music Publishing Group,SESAC,Pop,344353,False,whitejennifer@example.com
Latoya Henry,Pass teach candidate consider task.,3,May leader.,2023-09-02,Nathan Montgomery,Erin Irwin,978-0-360-46037-9,Universal Music Group,Warner/Chappell Music,SESAC,Rock,584764,False,fguerrero@example.net
Anthony Davies,Another spring drug.,10,Weight night.,2005-06-06,Dr. Crystal Rivera,Deborah Perez,978-1-4606-7104-7,EMI,Kobalt Music Group,ASCAP,Jazz,821949,False,kimberlysingh@example.com
Sheila Gardner,Ever off.,8,Need loss south art.,2021-10-04,Scott Williams,Dean Hernandez,978-1-163-98998-2,Warner Music Group,Warner/Chappell Music,SESAC,Vallenato,627229,False,stephaniemartin@example.org
Kelly Powers,Always really customer truth.,3,She deep most.,2012-04-19,Matthew Carr,Felicia Dominguez,978-1-81529-453-2,Sony Music,Universal Music Publishing Group,ASCAP,Classical,771460,False,tmyers@example.org
Frederick Terry Jr.,Weight how.,3,Finally sell together then.,2001-11-18,Natasha Garza,Dakota Collins,978-1-151-44176-8,Universal Music Group,Kobalt Music Group,SESAC,Reggeton,857323,False,vanderson@example.org
Stephanie Morris,The also system cultural role.,10,Go.,2020-03-05,Natalie Reeves,Amy Taylor,978-1-63055-054-7,Universal Music Group,Universal Music Publishing Group,BMI,Salsa,141017,False,antoniogibson@example.com
Steven Adams,Begin whose middle.,11,Or.,2016-11-06,Dillon Reeves,Patricia Torres,978-1-395-02527-4,EMI,Sony/ATV Music Publishing,ASCAP,Pop,327711,False,erin64@example.com
Robert Spence,Within over treatment none second.,6,Support candidate.,2018-07-10,Patrick Powell,Elijah Davis,978-1-56438-038-8,EMI,Kobalt Music Group,ASCAP,Jazz,669243,False,burtonmichael@example.org
Stephanie King,Purpose herself deep above news.,12,None camera claim.,2016-07-21,Chad Jenkins,Karina Mann,978-0-473-43533-2,EMI,Universal Music Publishing Group,SESAC,Reggeton,772659,False,pmiller@example.org
Brandon Osborne,Experience speak left expect force.,1,No.,2009-11-12,David Manning,Kimberly Ho,978-0-13-345204-4,Universal Music Group,Sony/ATV Music Publishing,BMI,Jazz,624869,False,patrickwalter@example.org
Carrie Mckenzie,Least social attack when.,1,Imagine.,2014-04-26,Melissa Johnson,Tiffany Adams,978-1-55622-822-3,EMI,Kobalt Music Group,ASCAP,Country,948670,False,bartonemily@example.com
Christopher Thornton,Usually foot oil position.,3,Politics.,2009-01-31,Marcus Garcia,Pamela Pitts,978-0-7474-4772-6,Warner Music Group,Warner/Chappell Music,ASCAP,Hip Hop,978208,False,sarah10@example.com
Sandra Black,Prove fund.,9,Feel right contain.,2008-02-19,Juan Hull,Sean Freeman,978-1-348-95879-6,Sony Music,Universal Music Publishing Group,ASCAP,Rock,19662,False,patrickhernandez@example.net
David Moore,Job Mrs.,1,Machine.,2010-10-18,Rebekah Myers,Randy Gomez,978-0-640-14874-4,Universal Music Group,Sony/ATV Music Publishing,SESAC,Merengue,751235,False,alexramirez@example.org
Natalie Scott,And wife similar.,8,Involve or.,2009-10-25,Christina Jimenez,Matthew Moses MD,978-0-928069-27-3,Sony Music,Universal Music Publishing Group,ASCAP,Vallenato,348223,False,ndunn@example.net
Timothy Dalton,Sell stuff card.,1,Decision baby development choose.,2017-12-26,Grace Kim,Linda Reed,978-1-385-90220-2,Universal Music Group,Warner/Chappell Music,ASCAP,Jazz,431742,False,isilva@example.net
Holly Haynes,Among meet able bag.,11,Vote sense key expert.,2013-08-26,Ronald Cooke,James Perez,978-0-528-64250-0,Warner Music Group,Warner/Chappell Music,ASCAP,Hip Hop,503698,False,todd99@example.com
Matthew Burns,Figure ago affect everyone.,12,South feel.,2002-06-17,Corey Conner,Charles Berger,978-1-75271-442-1,Universal Music Group,Universal Music Publishing Group,BMI,Pop,814845,False,annettehopkins@example.net
Thomas Wiley DVM,Democrat college career remain center.,8,Pick office hard.,2009-08-26,Adam Willis,Emily Soto,978-1-374-86753-6,Warner Music Group,Sony/ATV Music Publishing,SESAC,Jazz,686055,False,murrayjoseph@example.com
Gerald White,Low attorney.,1,Relate.,2006-12-18,Erin Wilson,Dennis Jones,978-0-684-05160-4,Warner Music Group,Kobalt Music Group,ASCAP,Merengue,775753,False,matthewcordova@example.org
Jonathan Bradshaw,Dark trip order.,8,Personal now.,2013-12-10,Timothy Williams,Kathryn Sutton,978-1-55573-772-6,EMI,Universal Music Publishing Group,BMI,Merengue,289413,False,rgonzalez@example.com
Kim Carr,Establish until board serve.,11,Himself cell expert.,2013-10-14,Dorothy Castro,Thomas Lee,978-0-17-534563-2,EMI,Universal Music Publishing Group,SESAC,Reggeton,551676,False,anthony07@example.org
Daniel Foster,Ahead appear tonight.,5,International eat enter.,2009-01-05,Barbara Ford,Kathleen Brooks,978-1-320-02074-9,Sony Music,Kobalt Music Group,ASCAP,Country,912978,False,gomezedward@example.net
Deborah Galloway,Discover already increase father.,4,Behavior explain.,2014-03-29,Tracy Lang MD,Dominique Jones,978-0-14-254342-9,Universal Music Group,Warner/Chappell Music,BMI,Pop,800876,False,mcbridelaurie@example.com
Lawrence Reynolds,Property affect anything affect.,11,Try.,2011-10-30,Jerry Parsons,Elaine Bean,978-1-84044-464-3,EMI,Sony/ATV Music Publishing,ASCAP,Country,301060,False,michaelmeyer@example.net
Cynthia Hernandez,Pick tax must.,6,Industry eight scene.,2001-08-04,Derek Smith,Sandy Strong,978-0-13-923281-7,Warner Music Group,Universal Music Publishing Group,BMI,Hip Hop,11279,False,shannonmary@example.com
Dana Sanders,However property.,2,Edge development expect.,2005-06-30,Eric Miller,Rhonda Kim,978-0-344-92740-9,Sony Music,Universal Music Publishing Group,SESAC,Salsa,884287,False,elizabethwarner@example.net
Stacy Carney,Institution local fine peace.,5,Commercial stuff serve.,2009-03-17,Kayla Hunt,Stacy Saunders,978-0-7697-6801-4,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Rock,292158,False,lauralong@example.org
Michelle Ellis,Suddenly push design back name.,2,Image.,2016-05-21,Ashley Gibbs,Adam Craig,978-0-430-01685-7,Sony Music,Warner/Chappell Music,BMI,Salsa,585979,False,chammond@example.com
Bobby Massey,Affect official enter ok.,2,Campaign across fast.,2002-06-20,Paul Richards,Justin Rodriguez,978-1-7357634-5-3,Universal Music Group,Universal Music Publishing Group,ASCAP,Hip Hop,498760,False,keithandrew@example.net
Lori Hampton,Firm assume.,9,Wish.,2011-06-18,Jeremy Cochran,Lindsey Hudson,978-0-13-438919-6,Universal Music Group,Kobalt Music Group,SESAC,Electronic,439706,False,michaelhoward@example.com
Ashley Johnson,Likely by year bring.,10,Meet her prevent.,2014-01-24,Kim Pitts,Christopher Cervantes,978-1-65057-503-2,Sony Music,Universal Music Publishing Group,BMI,Reggeton,316084,False,kristifoster@example.net
Jerry Watson,Movement use single star argue.,11,Fine who.,2009-09-24,Emily Williams,Linda Bartlett,978-1-67222-062-0,Warner Music Group,Sony/ATV Music Publishing,BMI,Electronic,519580,False,mkaiser@example.net
Phillip Santana,Stay stage candidate big.,7,Eight.,2008-09-08,Denise Stewart,David West,978-1-203-11863-1,EMI,Kobalt Music Group,ASCAP,Reggeton,601498,False,morgan47@example.com
Angela Mcintosh,Break popular surface there step.,12,Job right candidate.,2000-06-17,Tonya Herrera,Pamela Mcpherson,978-1-86116-404-9,Warner Music Group,Universal Music Publishing Group,BMI,Salsa,745108,False,robertrivera@example.org
Larry Gonzalez,Dark agent.,6,Late sort.,2002-06-16,Patricia Leonard,Michael Gilbert,978-1-61730-056-1,Warner Music Group,Warner/Chappell Music,BMI,Merengue,490040,False,dunnzachary@example.net
Gary Goodwin,Discover agent physical around.,5,Stop try with.,2024-03-02,Jorge Donovan,Joshua Clayton,978-0-01-130395-6,Warner Music Group,Universal Music Publishing Group,SESAC,Rock,139798,False,kelly83@example.com
Kevin Harrison,State the.,9,Purpose state ask.,2010-05-30,Erica Casey,Crystal King,978-0-479-12492-6,Warner Music Group,Warner/Chappell Music,SESAC,Merengue,682740,False,timothygilmore@example.net
Dawn Stafford,Technology attention then.,9,Go couple.,2010-04-23,Debra Davis,Michele Garner DVM,978-0-446-51547-4,Universal Music Group,Warner/Chappell Music,ASCAP,Pop,94885,False,christopher04@example.net
Michael Mcgee,Eat leg.,10,Treat both.,2007-06-29,Charles Ray,Thomas Colon,978-0-276-55808-5,Universal Music Group,Universal Music Publishing Group,BMI,Rock,627316,False,anthony52@example.com
Jasmin Hernandez,Sell field human scene.,2,Economic heart.,2007-06-16,Kayla Ruiz,Patrick Chavez,978-0-368-22317-4,EMI,Universal Music Publishing Group,ASCAP,Classical,673907,False,jeffreydavies@example.com
Michael Rodriguez,Land oil least then current.,11,Government explain.,2013-11-02,James Tran,Thomas Williams,978-0-14-052592-2,Universal Music Group,Universal Music Publishing Group,ASCAP,Electronic,762316,False,zschmidt@example.org
Maurice Murphy,Phone discussion buy teacher continue.,11,Half future again.,2012-03-05,Molly Ramirez,Renee Lee,978-1-81894-287-4,Universal Music Group,Warner/Chappell Music,SESAC,Hip Hop,687667,False,markpeterson@example.org
Melissa Cole,Statement foreign lot.,4,Gun resource.,2021-07-19,Casey Horne,Bryan Mcdowell,978-0-9900571-3-0,EMI,Universal Music Publishing Group,BMI,Classical,435778,False,aguirredavid@example.com
Timothy Terry,Her color machine.,7,Coach its.,2015-11-03,Jennifer Page,Matthew York,978-0-271-82439-0,Sony Music,Sony/ATV Music Publishing,BMI,Merengue,940581,False,emilylane@example.org
Dr. Dana Snyder,Player event begin continue bed.,9,Quite weight.,2003-12-13,Cindy Hughes,Brandi Goodman,978-1-03-317705-1,Universal Music Group,Kobalt Music Group,BMI,Vallenato,84190,False,wilsonbrent@example.net
Charles Bauer,Certainly lose scene.,11,Region hour.,2014-07-17,Francisco French,Darrell Peterson,978-0-88614-806-5,Warner Music Group,Kobalt Music Group,BMI,Jazz,331731,False,lauriehicks@example.org
Michael Solis,Important crime possible.,1,Energy article.,2016-09-24,Jeffrey Gibson,Brett Dunlap,978-1-960257-35-2,Sony Music,Kobalt Music Group,ASCAP,Country,409085,False,xmyers@example.net
Stacey Martin,Cold believe explain chance.,5,Scene country many million.,2007-12-11,Shawn Marsh,Miguel Gilbert,978-1-76854-311-4,EMI,Universal Music Publishing Group,ASCAP,Merengue,496089,False,kyletaylor@example.org
Zachary Huerta,Along tree only reality event.,8,Reflect particularly ever.,2012-05-23,Christina Kelley,Roger Lowe,978-0-405-99259-9,Sony Music,Kobalt Music Group,ASCAP,Pop,345540,False,johnlane@example.com
Judy Smith,Save statement exist project concern.,5,Two power behind.,2006-06-05,Blake Walsh,Stacy Holmes,978-1-295-62491-1,EMI,Sony/ATV Music Publishing,SESAC,Reggae,339864,False,fernandezdaniel@example.org
Brittany Foster,Story country more produce.,4,Behind.,2017-01-14,Seth Nicholson,Michael Carlson,978-0-85239-627-8,Sony Music,Sony/ATV Music Publishing,ASCAP,Reggeton,241296,False,snyderbrandon@example.net
Philip Johnson,Trouble clear shake.,9,Game factor hot.,2013-03-24,Rebecca Stevenson,Ms. Taylor Wolf,978-0-9937003-0-9,EMI,Kobalt Music Group,BMI,Jazz,848769,False,daniel64@example.org
Gary Curry,Environment writer development bring.,5,Simple long.,2009-03-13,Terri Gilbert,Sarah Martinez,978-0-8443-1952-0,Universal Music Group,Sony/ATV Music Publishing,SESAC,Vallenato,868974,False,courtneythornton@example.com
Donna Brooks,Eye citizen according north.,11,Away suffer.,2008-11-07,James Bowers,Kim Rivera,978-1-4171-4921-6,Sony Music,Kobalt Music Group,BMI,Hip Hop,333449,False,smcdaniel@example.org
Joshua Hall,Short purpose.,7,Floor how.,2019-05-10,Joel Hayes,Ryan Rodgers,978-0-397-00049-4,Universal Music Group,Universal Music Publishing Group,BMI,Salsa,856708,False,richardgonzalez@example.net
Angela Holmes,Process show list.,9,Entire better.,2008-10-26,Annette Riley,Norma Flowers,978-0-941961-05-9,Warner Music Group,Kobalt Music Group,BMI,Hip Hop,357966,False,kevinjones@example.org
Teresa Molina,Clearly range travel white stuff.,4,Anything off.,2012-12-21,Shelly Mason,Stacey Day,978-1-915130-94-5,Sony Music,Universal Music Publishing Group,SESAC,Hip Hop,120436,False,ujones@example.com
Carolyn Stewart,Particular almost three talk.,3,Discover weight.,2001-01-09,Nicole Brown,Jesse Gibson,978-0-364-70290-1,Universal Music Group,Warner/Chappell Music,ASCAP,Pop,103352,False,jeffrey22@example.org
Patrick Cook,Morning like organization law strategy.,8,Machine society.,2010-12-13,Warren Edwards,Natalie Martinez,978-0-8416-6929-1,Universal Music Group,Sony/ATV Music Publishing,BMI,Hip Hop,255828,False,terrellwendy@example.net
William Murray,Feel stop only here.,9,Middle painting.,2003-07-22,Allison Moore,Thomas Miller,978-1-5020-0877-0,Warner Music Group,Universal Music Publishing Group,BMI,Hip Hop,406096,False,ovasquez@example.org
Erica Bradford,Enter stuff he.,5,Section.,2001-12-12,Heather Nunez,Jonathan Gallagher MD,978-0-578-50598-5,Warner Music Group,Universal Music Publishing Group,BMI,Rock,465286,False,zacharyjones@example.net
Sarah Torres,Visit end heart beyond.,10,Painting different.,2001-07-12,Albert Price,Eric Wright,978-1-246-77466-5,Warner Music Group,Sony/ATV Music Publishing,ASCAP,Electronic,413150,False,swalker@example.net
Samuel Olson,Prove magazine cup now.,1,Remain who can.,2004-02-29,Kristine Cruz,Morgan Jackson,978-0-288-47583-7,Sony Music,Warner/Chappell Music,SESAC,Salsa,658926,False,sylvia53@example.org
Michael Hoffman,Laugh quite.,12,Floor interest cultural.,2000-05-14,Danielle Juarez,Charles Williams DDS,978-1-195-33866-6,EMI,Sony/ATV Music Publishing,BMI,Classical,180844,False,kwade@example.net
Jonathan Franklin,Ago bit likely bed evening.,10,Per here.,2011-01-28,Daniel Martinez,Paul Little,978-1-315-02526-1,Warner Music Group,Warner/Chappell Music,ASCAP,Electronic,450552,False,oreynolds@example.net
Dennis Perez,None walk evening about stand.,8,Camera.,2007-06-04,Todd Alvarez,Hannah Rodriguez,978-0-7891-9125-0,Warner Music Group,Kobalt Music Group,ASCAP,Classical,922598,False,kimjudith@example.com
Eric Franco,Employee yourself player.,2,Measure skill watch.,2017-05-09,Stephanie Carroll,Roger Brown,978-1-02-939875-0,Universal Music Group,Warner/Chappell Music,ASCAP,Pop,393169,False,nbell@example.org
Jordan Mcdonald,Ten religious.,7,Development third food.,2001-12-26,Stacy Brown,Melanie Foster,978-0-9609987-7-7,Universal Music Group,Universal Music Publishing Group,BMI,Merengue,993822,True,leecatherine@example.net
Shannon Lane,Ready unit.,9,Friend local media.,2014-01-07,Melinda Ford,Brandon Carroll,978-1-57548-406-8,Universal Music Group,Kobalt Music Group,ASCAP,Rock,746857,False,zhardy@example.org
Brent Barton,Number like on.,4,Only benefit experience member.,2024-01-20,Katherine Francis,Latasha Santiago,978-0-618-61266-6,EMI,Sony/ATV Music Publishing,ASCAP,Vallenato,86757,False,webbronald@example.org
Jonathan Hanna,Sign college.,3,Affect.,2002-12-22,Kayla Phillips,Ann Craig,978-0-916436-24-7,Warner Music Group,Sony/ATV Music Publishing,SESAC,Hip Hop,230952,False,cynthia02@example.org
Robin Davis,Safe kind explain.,9,Gas within.,2006-09-07,Angela Elliott,Ariel Ramos,978-1-248-55487-6,EMI,Universal Music Publishing Group,ASCAP,Reggae,178605,False,curtismelissa@example.net
Kimberly Fuller,Always already center put.,9,Visit analysis meeting.,2004-12-23,Christian Keller,Michelle Lee,978-0-371-80930-3,Sony Music,Universal Music Publishing Group,BMI,Electronic,989000,False,jodirose@example.com
Robert Simmons,Suffer point respond company ready.,6,Speak use magazine.,2002-10-15,Mike Guzman,Patricia Mcgee,978-1-990804-04-5,Sony Music,Sony/ATV Music Publishing,SESAC,Country,730741,False,ashleyroberts@example.org
Jeffrey Johnson,Piece win future allow.,6,Decision focus.,2007-02-24,Miss Kimberly Delgado,Francisco Lewis,978-0-7638-6818-5,EMI,Kobalt Music Group,ASCAP,Reggeton,644218,False,justin44@example.org
Holly Hester,North this front still.,8,Along.,2009-07-02,Lisa Phillips,Alexandra Mason,978-0-7991-6310-0,Universal Music Group,Kobalt Music Group,ASCAP,Electronic,106173,False,wgentry@example.com
James Walker,Question accept soon various.,7,Himself discover.,2002-08-08,Amber Goodman,Raymond Campbell,978-0-941699-76-1,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Merengue,543796,False,jeffrey26@example.net
Aaron Miller,Prove arrive career as.,4,Condition teacher.,2009-12-20,Shawna Baker,Sara Underwood,978-1-354-73737-8,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Reggae,160979,False,rachel58@example.net
Ivan Lewis,Training husband however go.,8,West surface prevent.,2004-04-02,Michael Armstrong,Joshua Rivera,978-1-06-364832-3,EMI,Warner/Chappell Music,SESAC,Merengue,348865,False,rlewis@example.org
Brenda Lane,View radio city name.,3,Figure product leave.,2009-11-25,Martin Cruz,Erika Bowman,978-0-469-51689-2,Universal Music Group,Universal Music Publishing Group,SESAC,Reggae,578127,False,kevinshah@example.org
Pamela Hall,It part care.,9,Art simple laugh value.,2010-12-25,Mark Douglas,Joan Brown,978-0-507-17247-9,EMI,Kobalt Music Group,SESAC,Rock,772492,False,darren10@example.org
Rachel Bennett,Stand open amount.,3,Forget course.,2012-01-02,Christopher Daniel,John Gutierrez,978-0-613-15382-9,EMI,Universal Music Publishing Group,SESAC,Hip Hop,154011,False,brandon24@example.com
Charles Williams,Operation true pretty boy.,12,Would apply American.,2002-01-13,Stephanie Thompson,Kenneth Fisher,978-0-7805-0193-5,Sony Music,Universal Music Publishing Group,BMI,Classical,571842,False,lisa79@example.com
Nancy Gibbs,Let sell happy study foot.,8,Rich pick relationship.,2005-06-24,Douglas Russell,James Oconnor,978-1-79474-005-1,Warner Music Group,Kobalt Music Group,SESAC,Electronic,555598,False,franciscohorton@example.com
Aaron Garcia,Difficult large wait.,9,Evening bring speech keep.,2021-11-13,Jeremy Baker,Curtis Hoffman,978-1-08-397769-4,EMI,Sony/ATV Music Publishing,ASCAP,Electronic,924703,False,amber60@example.org
Kayla Mills,Condition onto nearly everything.,11,Similar hotel.,2010-06-19,David Marquez,Danielle Griffin,978-0-7614-3056-8,Warner Music Group,Kobalt Music Group,BMI,Reggeton,16956,False,john05@example.org
Justin Taylor,Friend plan individual.,3,Determine born themselves.,2019-01-06,Melissa Bird,Theresa Zuniga,978-1-69011-320-1,Universal Music Group,Kobalt Music Group,BMI,Electronic,778184,False,conleykathy@example.com
Sabrina Turner,Deep Congress.,3,Newspaper of.,2005-12-07,Rodney Todd,Stephanie Marsh,978-0-88668-864-6,EMI,Warner/Chappell Music,BMI,Rock,638529,False,gavinperkins@example.net
Michele Wang,Military group.,2,Camera Republican.,2004-06-28,Marie Turner,Troy Jackson,978-0-345-22583-2,Universal Music Group,Sony/ATV Music Publishing,SESAC,Hip Hop,284286,False,marcflores@example.net
Joel Bauer,Put through.,12,Them style game.,2017-10-03,Joshua Lopez,Adam Foster,978-1-943877-17-1,Warner Music Group,Kobalt Music Group,BMI,Reggae,805031,False,foxjeffrey@example.net
Christopher Brown,Head perhaps store.,3,Professional give.,2015-09-27,Thomas King,Angela Patton,978-1-64260-625-6,EMI,Kobalt Music Group,ASCAP,Vallenato,857091,False,william69@example.org
Brandon Wolf,Stay market sit meeting course.,7,Probably like morning.,2023-03-27,Jennifer Mendoza,Christopher Stevenson,978-1-152-33833-3,Sony Music,Sony/ATV Music Publishing,ASCAP,Rock,956683,False,kyle68@example.net
Katherine Carlson,Pull happen nothing.,4,Series what should.,2002-07-06,Sarah Robinson,Susan Lee,978-0-18-489015-4,Warner Music Group,Warner/Chappell Music,BMI,Merengue,498689,False,perryalexis@example.net
Cameron Jones,Position everything oil help.,6,Thought hospital.,2017-02-05,Sheena Shepherd,Andrea Sanchez,978-0-7185-6424-7,Universal Music Group,Sony/ATV Music Publishing,BMI,Vallenato,449252,False,edwardmills@example.org
Daniel Krueger,Reduce anything realize none.,6,Foot wall.,2022-10-03,Michele Grant,Lance Singh,978-1-00-981738-7,Warner Music Group,Warner/Chappell Music,ASCAP,Classical,510006,False,katiegardner@example.net
